# Drag Curve (Up to date),
# 783 data points written for 2 variables.,
# Simulation warnings:,
#   No recovery device defined in the simulation.,
#   Open forward airframe (diameter > 0):  ""Transition""",
#,
# Mach number (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds,
0,1.76
0,1.76
0,1.76
0,1.76
5.56E-04,1.358
0.002,1.031
0.004,0.918
0.005,0.865
0.007,0.838
0.008,0.819
0.009,0.803
0.01,0.789
0.011,0.776
0.013,0.765
0.014,0.755
0.015,0.746
0.017,0.737
0.018,0.73
0.019,0.723
0.021,0.716
0.022,0.71
0.024,0.704
0.025,0.699
0.027,0.694
0.029,0.69
0.03,0.685
0.033,0.679
0.036,0.674
0.038,0.674
0.042,0.674
0.046,0.674
0.053,0.675
0.055,0.675
0.058,0.675
0.062,0.675
0.068,0.675
0.072,0.675
0.077,0.676
0.086,0.676
0.089,0.676
0.093,0.676
0.1,0.677
0.106,0.677
0.115,0.678
0.124,0.678
0.133,0.679
0.142,0.679
0.15,0.68
0.159,0.681
0.168,0.682
0.177,0.682
0.186,0.683
0.195,0.684
0.203,0.685
0.212,0.686
0.22,0.687
0.229,0.688
0.237,0.689
0.246,0.69
0.254,0.691
0.262,0.692
0.27,0.693
0.279,0.695
0.287,0.696
0.294,0.697
0.302,0.698
0.31,0.7
0.317,0.701
0.323,0.702
0.328,0.703
0.332,0.703
0.334,0.704
0.334,0.704
0.332,0.704
0.33,0.703
0.328,0.703
0.325,0.702
0.322,0.702
0.319,0.701
0.316,0.701
0.313,0.7
0.309,0.7
# Event SIM_WARN occurred at t=2.7 seconds: Open forward airframe (diameter > 0):  ""Transition""",
# Event BURNOUT occurred at t=2.7 seconds,
# Event EJECTION_CHARGE occurred at t=2.7 seconds,
# Event STAGE_SEPARATION occurred at t=2.7 seconds,
0.306,1.17
0.297,1.168
0.289,1.166
0.281,1.165
0.274,1.164
0.267,1.162
0.26,1.161
0.253,1.16
0.247,1.159
0.241,1.158
0.235,1.157
0.229,1.156
0.224,1.155
0.218,1.155
0.213,1.154
0.208,1.153
0.204,1.153
0.199,1.152
0.195,1.152
0.19,1.151
0.186,1.15
0.182,1.15
0.178,1.15
0.174,1.149
0.171,1.149
0.167,1.148
0.163,1.148
0.16,1.147
0.157,1.147
0.153,1.147
0.15,1.146
0.147,1.146
0.144,1.146
0.141,1.146
0.138,1.145
0.135,1.145
0.132,1.145
0.129,1.145
0.127,1.144
0.124,1.144
0.122,1.144
0.119,1.144
0.116,1.144
0.114,1.143
0.112,1.143
0.109,1.143
0.107,1.143
0.105,1.143
0.102,1.143
0.1,1.142
0.098,1.142
0.096,1.142
0.094,1.142
0.092,1.142
0.089,1.142
0.087,1.142
0.085,1.141
0.083,1.141
0.081,1.141
0.079,1.141
0.078,1.141
